chapter,title,chapter_path,code_pack,library_examples,python_libraries,existing_scenario_example
11,AI Agent Fundamentals and the Execution Loop,04-agents/01-agent-fundamentals-and-execution-loop.md,Agent fundamentals,07_openai_agents_sdk_support.py; 22_pydantic_context_contracts.py,openai-agents; pydantic,examples/11-agent-fundamentals
12,Tool Calling and Action Execution,04-agents/02-tool-calling-and-action-execution.md,Agent fundamentals,07_openai_agents_sdk_support.py; 22_pydantic_context_contracts.py,openai-agents; pydantic,examples/12-tool-calling
13,"Reflection, Evaluation, and Replanning",04-agents/03-reflection-evaluation-and-replanning.md,Agent fundamentals,07_openai_agents_sdk_support.py; 22_pydantic_context_contracts.py,openai-agents; pydantic,examples/13-reflection-replanning
14,Memory and Persistent State,04-agents/04-memory-and-persistent-state.md,Agent fundamentals,07_openai_agents_sdk_support.py; 22_pydantic_context_contracts.py,openai-agents; pydantic,examples/14-memory-state
15,LangGraph and Stateful Graph Workflows,05-frameworks/01-langgraph-and-stateful-graph-workflows.md,LangGraph,08_langgraph_stateful_workflow.py,langgraph; pydantic,examples/15-langgraph
16,CrewAI and Role-Based Multi-Agent Systems,05-frameworks/02-crewai-role-based-multi-agent-systems.md,CrewAI,09_crewai_research_crew.py,crewai,examples/16-crewai
17,AutoGen and Conversational Multi-Agent Systems,05-frameworks/03-autogen-conversational-multi-agent-systems.md,AutoGen,10_autogen_review_team.py,autogen-agentchat; autogen-ext,examples/17-autogen
18,LangChain Agents and Dynamic Tool Routing,05-frameworks/04-langchain-agents-and-dynamic-tool-routing.md,LangChain,11_langchain_dynamic_tools.py,langchain; langchain-openai,examples/18-langchain
19,"Orchestration, Routing, and Shared State",05-frameworks/05-orchestration-routing-and-shared-state.md,Orchestration and multi-agent,08_langgraph_stateful_workflow.py; 10_autogen_review_team.py; 25_networkx_agent_graph_analysis.py,langgraph; autogen-agentchat; networkx,examples/19-orchestration
20,Manager-Worker and Planner-Executor-Reviewer Patterns,06-multi-agent/01-manager-worker-and-planner-executor-reviewer.md,Orchestration and multi-agent,08_langgraph_stateful_workflow.py; 10_autogen_review_team.py; 25_networkx_agent_graph_analysis.py,langgraph; autogen-agentchat; networkx,examples/20-multi-agent-patterns
21,"Debate, Critique, and Hierarchical Multi-Agent Patterns",06-multi-agent/02-debate-critique-and-hierarchical-patterns.md,Orchestration and multi-agent,08_langgraph_stateful_workflow.py; 10_autogen_review_team.py; 25_networkx_agent_graph_analysis.py,langgraph; autogen-agentchat; networkx,examples/21-debate-hierarchy
22,Multi-Agent Failure Modes and Reliability Controls,06-multi-agent/03-multi-agent-failure-modes-and-reliability-controls.md,Orchestration and multi-agent,08_langgraph_stateful_workflow.py; 10_autogen_review_team.py; 25_networkx_agent_graph_analysis.py,langgraph; autogen-agentchat; networkx,examples/22-multi-agent-reliability
23,"Guardrails, Human Overrides, and Safe Agent Control",07-control-safety/01-guardrails-human-overrides-and-safe-agent-control.md,Safety and evaluation,15_ragas_deepeval_eval.py; 16_phoenix_opentelemetry_trace.py,pydantic; ragas; deepeval; opentelemetry,examples/23-guardrails-control
24,Evaluation and Responsible AI,07-control-safety/02-evaluation-and-responsible-ai.md,Safety and evaluation,15_ragas_deepeval_eval.py; 16_phoenix_opentelemetry_trace.py,pydantic; ragas; deepeval; opentelemetry,examples/24-evaluation-responsible-ai
25,"Explainability, Bias, and Fairness",07-control-safety/03-explainability-bias-and-fairness.md,Safety and evaluation,15_ragas_deepeval_eval.py; 16_phoenix_opentelemetry_trace.py,pydantic; ragas; deepeval; opentelemetry,examples/25-explainability-fairness
26,AI Security and Threat Modeling,07-control-safety/04-ai-security-and-threat-modeling.md,Safety and evaluation,15_ragas_deepeval_eval.py; 16_phoenix_opentelemetry_trace.py,pydantic; ragas; deepeval; opentelemetry,examples/26-ai-security-threat-modeling
27,Application Layer and Agent UX,08-ux-performance/01-application-layer-and-agent-ux.md,UX performance and operations,17_fastapi_agent_service.py; 16_phoenix_opentelemetry_trace.py,fastapi; pydantic; opentelemetry,examples/27-agent-ux
28,"Latency, Cost, and Performance Optimization",08-ux-performance/02-latency-cost-and-performance-optimization.md,UX performance and operations,17_fastapi_agent_service.py; 16_phoenix_opentelemetry_trace.py,fastapi; pydantic; opentelemetry,examples/28-performance-optimization
29,Production Observability and Operations,08-ux-performance/03-production-observability-and-operations.md,UX performance and operations,17_fastapi_agent_service.py; 16_phoenix_opentelemetry_trace.py,fastapi; pydantic; opentelemetry,examples/29-production-observability
30,AI-Native Product Management,09-product-management/01-ai-native-product-management.md,AI product management,18_pandas_product_experiment.py,pandas; scipy; pydantic,examples/30-ai-native-product-management
31,End-to-End Support Triage Agent Project,10-projects/01-end-to-end-support-triage-agent-project.md,End-to-end projects,17_fastapi_agent_service.py; 07_openai_agents_sdk_support.py,fastapi; openai-agents; pydantic,examples/31-support-triage-agent
32,End-to-End Supplier Recommendation Agent Project,10-projects/02-end-to-end-supplier-recommendation-agent-project.md,End-to-end projects,17_fastapi_agent_service.py; 07_openai_agents_sdk_support.py,fastapi; openai-agents; pydantic,examples/32-supplier-recommendation-agent
33,End-to-End Project Coordination Agent Project,10-projects/03-end-to-end-project-coordination-agent-project.md,End-to-end projects,17_fastapi_agent_service.py; 07_openai_agents_sdk_support.py,fastapi; openai-agents; pydantic,examples/33-project-coordination-agent
34,End-to-End Competitive Research System,10-projects/04-end-to-end-competitive-research-system.md,End-to-end projects,17_fastapi_agent_service.py; 07_openai_agents_sdk_support.py,fastapi; openai-agents; pydantic,examples/34-competitive-research-system
35,Agentic AI Interview Guide and Architecture Exercises,11-interview-guide/01-interview-guide-and-architecture-exercises.md,Interview and architecture,22_pydantic_context_contracts.py; 24_typer_rich_architecture_cli.py,pydantic; rich; typer,examples/35-interview-architecture
36,Advanced Prompting and Reasoning Patterns,02-prompt-engineering/02-advanced-prompting-and-reasoning-patterns.md,Prompting and optimization,04_openai_structured_output.py; 12_dspy_classifier.py,openai; pydantic; dspy,examples/36-advanced-prompting
37,Prompt Evaluation and Optimization,02-prompt-engineering/03-prompt-evaluation-and-optimization.md,Prompting and optimization,04_openai_structured_output.py; 12_dspy_classifier.py,openai; pydantic; dspy,examples/37-prompt-evaluation
38,AI Product Discovery and Prioritization,09-product-management/02-ai-product-discovery-and-prioritization.md,AI product management,18_pandas_product_experiment.py,pandas; scipy; pydantic,examples/38-product-discovery-prioritization
39,AI Product Experimentation and Optimization,09-product-management/03-ai-product-experimentation-and-optimization.md,AI product management,18_pandas_product_experiment.py,pandas; scipy; pydantic,examples/39-product-experimentation
40,MCP and Agent-to-Agent Interoperability,12-interoperability/01-mcp-and-agent-to-agent-interoperability.md,Interoperability,13_mcp_server.py; 14_a2a_client.py,mcp; a2a-sdk; httpx,examples/40-mcp-a2a
41,Modern Agent SDKs and Programming Frameworks,12-interoperability/02-modern-agent-sdks-and-programming-frameworks.md,Modern SDKs,07_openai_agents_sdk_support.py; 19_google_adk_agent.py; 20_semantic_kernel_agent.py; 12_dspy_classifier.py,openai-agents; google-adk; semantic-kernel; dspy,examples/41-modern-agent-sdks
42,Evaluation and Observability Frameworks,13-evaluation-observability/01-evaluation-and-observability-frameworks.md,Evaluation platforms,15_ragas_deepeval_eval.py; 16_phoenix_opentelemetry_trace.py,ragas; deepeval; opentelemetry,examples/42-evaluation-observability
43,"Workflow Automation and Production Deployment with n8n, FastAPI, Docker, and CI/CD",14-production-deployment/01-workflow-automation-and-production-deployment.md,Deployment,17_fastapi_agent_service.py,fastapi; uvicorn; pydantic; httpx,examples/43-production-deployment
44,Context Engineering: Designing the Information Environment,15-engineering-disciplines/01-context-engineering.md,Context engineering,22_pydantic_context_contracts.py; ../44-context-engineering/context_budget_cli.py; 23_tiktoken_context_estimator.py,pydantic; tiktoken,examples/44-context-engineering
45,"Context Operations: Retrieval, Memory, Compression, and Routing",15-engineering-disciplines/02-context-operations-retrieval-memory-compression.md,Context operations,05_sentence_transformers_faiss_rag.py; ../45-context-operations/context_pipeline_cli.py,scikit-learn; numpy; sentence-transformers; faiss-cpu,examples/45-context-operations
46,Agent Harness Engineering,15-engineering-disciplines/03-agent-harness-engineering.md,Harness engineering,07_openai_agents_sdk_support.py; ../46-harness-engineering/harness_runtime_cli.py,pydantic; openai-agents; opentelemetry,examples/46-harness-engineering
47,Agent Loop Engineering,15-engineering-disciplines/04-agent-loop-engineering.md,Loop engineering,08_langgraph_stateful_workflow.py; ../47-loop-engineering/loop_controller_cli.py; 25_networkx_agent_graph_analysis.py,langgraph; networkx; pydantic,examples/47-loop-engineering
48,Future Development and Research Frontiers in Agentic AI,16-future-directions/01-future-development-and-research-frontiers.md,Future research portfolio,../48-future-directions/research_portfolio_cli.py,pandas; pydantic,examples/48-future-directions
